Timestamp,CO (ppm),CO2 (ppm),Ethanol (ppm),NH4 (ppm),Tolueno (ppm),Acetone (ppm),Temperatura (°C),Humedad (%)
2025-04-10 11:19:04,0.9862522,406.7788,199.1811,97.83772,43.7544,316.9742,31,52
2025-04-10 11:19:06,0.983742,406.7921,195.3197,96.25967,43.24771,318.445,31,51
2025-04-10 11:19:09,1.015542,407.5552,198.7159,97.31224,43.86917,320.2485,31,51
2025-04-10 11:19:12,0.9794342,413.1757,197.5908,98.22495,44.479,314.8994,31,51
2025-04-10 11:19:15,0.9862623,413.7459,197.4394,95.24586,44.42746,316.299,31,51
2025-04-10 11:19:18,1.047786,407.5428,195.7319,96.01451,43.15956,324.3325,31,51
2025-04-10 11:19:20,0.991733,410.6483,199.5811,96.49448,43.45514,318.981,31,51
2025-04-10 11:19:23,1.021814,407.88,197.3848,95.96206,43.60887,320.3203,31,51
2025-04-10 11:19:26,0.9904152,419.0256,203.2567,97.1517,43.35125,321.3306,31,51
2025-04-10 11:19:29,0.9865502,408.3469,196.5924,97.91246,43.50489,326.1511,31,52
2025-04-10 11:19:31,0.9945481,405.2838,198.3646,98.25436,43.06211,327.027,31,52
2025-04-10 11:19:34,0.9921541,402.602,197.0641,96.02435,44.0725,320.2837,31,52
2025-04-10 11:19:37,0.9906989,397.6799,200.6766,97.41575,44.54002,319.9984,30,52
2025-04-10 11:19:40,1.024929,405.2301,198.6851,96.2528,43.91416,324.6302,30,52
2025-04-10 11:19:42,1.0027,412.4862,193.9225,96.91456,42.82782,320.3474,30,52
2025-04-10 11:19:45,1.004257,407.9659,198.9365,97.40528,44.01902,322.4354,30,52
2025-04-10 11:19:48,1.010903,406.1321,195.9803,96.99384,44.17577,321.701,30,52
2025-04-10 11:19:55,0.98623,398.8537,195.3437,96.44253,43.32998,313.0781,30,52
2025-04-10 11:19:58,1.005714,407.5804,198.5226,96.6785,44.17691,320.2502,31,52
2025-04-10 11:20:00,0.9826402,411.8044,202.1322,96.91321,43.32084,327.6927,30,52
2025-04-10 11:20:03,0.9961969,405.3306,197.4088,96.66469,43.20803,320.631,31,52
2025-04-10 11:20:06,1.004064,405.8994,197.6591,95.12928,43.1223,313.4166,30,52
2025-04-10 11:20:52,0.993937,404.2559,196.0182,95.50915,43.43095,317.1451,30,49
2025-04-10 11:20:55,1.012157,398.0929,197.4529,96.61255,43.77899,322.7087,30,53
2025-04-10 11:20:58,0.9656256,419.5649,199.4345,96.45933,44.01021,322.2672,30,53
2025-04-10 11:21:01,1.00007,408.26,209.4895,97.80518,43.44775,319.232,31,53
2025-04-10 11:21:03,0.9874157,406.87,198.0645,96.98239,42.94323,325.2582,31,53
2025-04-10 11:21:06,0.9987419,418.129,195.9552,97.44781,43.77732,318.5891,31,53
2025-04-10 11:21:09,1.016309,408.9882,197.6701,97.05975,44.01323,326.1115,31,53
2025-04-10 11:21:12,0.9883594,404.3431,198.4657,96.4705,44.30381,323.637,31,53
2025-04-10 11:21:14,0.9541017,405.0551,196.8964,97.30032,43.67532,320.9638,31,53
2025-04-10 11:21:17,0.9911516,406.8541,198.0639,96.9855,44.20381,307.2695,31,53
2025-04-10 11:21:20,1.016893,408.2923,199.0644,96.83208,43.34929,320.2979,31,54
2025-04-10 11:21:23,0.9946733,407.9644,196.2036,96.74382,43.71894,311.8262,31,54
2025-04-10 11:21:26,1.013275,402.0945,196.6517,97.45884,43.52002,322.0248,31,54
2025-04-10 11:21:28,0.9999953,405.7362,198.4664,97.45051,43.58582,321.6721,31,54
2025-04-10 11:21:31,1.001362,408.3065,200.0867,96.83286,43.44047,320.6116,31,54
2025-04-10 11:21:34,1.002657,407.9435,194.6108,96.35661,43.91941,309.2538,31,54
2025-04-10 11:21:37,0.9999866,412.7124,196.148,96.35466,42.88924,331.025,31,54
2025-04-10 11:21:39,1.005765,410.2844,198.7077,99.41367,44.17442,321.0138,31,54
2025-04-10 11:21:42,0.9876293,409.5056,196.9789,97.17989,43.81525,331.0426,31,54
2025-04-10 11:21:45,1.022801,413.8759,197.6352,97.67078,43.35514,321.0045,31,55
2025-04-10 11:21:48,1.00974,397.5005,195.7248,97.08047,43.45384,317.6889,31,54
2025-04-10 11:21:50,0.984845,402.1369,202.4181,97.25937,44.4364,325.5789,31,54
2025-04-10 11:21:53,1.01434,407.5715,198.0628,98.12201,44.14961,320.6366,31,55
2025-04-10 11:21:56,0.9915463,404.0549,200.1734,97.7644,43.70928,317.2838,31,54
2025-04-10 11:21:59,0.993117,412.6735,199.1452,97.41791,44.54924,323.295,31,55
2025-04-10 11:22:02,0.9553129,409.5181,201.7473,94.9698,45.33279,323.6294,31,55
2025-04-10 11:22:04,0.9862311,407.185,198.0941,96.83237,44.43296,321.7404,31,55
2025-04-10 11:22:07,0.9905876,408.3371,198.7001,98.34158,43.60637,319.9033,31,54
2025-04-10 11:22:10,0.9917984,409.4977,199.9824,97.32646,44.1769,319.5266,31,55
2025-04-10 11:22:13,0.9986107,399.2874,199.1334,96.25052,43.91955,322.1161,31,55
2025-04-10 11:22:15,0.9999904,406.7871,200.4709,96.83086,43.24066,326.3119,31,55
2025-04-10 11:22:18,0.9872008,407.0813,197.6133,96.57789,43.18549,323.6696,31,54
2025-04-10 11:22:21,1.02967,404.8491,197.8495,96.00357,43.5041,320.2748,31,54
2025-04-10 11:22:24,1.014519,409.9575,197.1651,94.51402,44.02185,321.7711,31,55
2025-04-10 11:22:26,0.973914,409.9065,206.1207,96.33844,44.02951,320.2589,31,54
2025-04-10 11:22:29,0.9917813,411.4296,201.5059,97.73614,42.48364,308.6384,31,55
2025-04-10 11:22:32,1.014306,418.3635,196.1107,96.91827,43.2833,319.8835,31,55
2025-04-10 11:22:35,0.9851083,399.1302,201.0711,96.58604,43.71323,323.1798,31,55
2025-04-10 11:22:38,0.9931529,407.5646,200.6566,98.91502,44.75636,310.3139,31,55
2025-04-10 11:22:40,1.01694,408.3524,198.0628,99.29124,44.33857,321.0729,31,55
2025-04-10 11:22:43,0.9891926,412.3297,197.1934,96.66488,43.5733,319.2187,31,54
2025-04-10 11:22:46,0.9945106,407.1895,196.3221,96.91459,43.34591,322.1133,31,54
2025-04-10 11:22:49,0.9877932,405.6358,197.6428,97.49126,43.8157,325.0263,31,54
2025-04-10 11:22:51,1.001437,407.9524,197.6293,98.425,43.97028,324.3713,31,54
2025-04-10 11:22:54,0.9390738,406.7893,199.8105,95.99352,43.97195,320.2589,31,54
2025-04-10 11:22:57,1.015358,400.6482,203.9959,97.59821,43.91824,319.8835,31,54
2025-04-10 11:23:00,0.9874333,416.5869,198.4974,96.99916,44.29639,319.5106,31,54
2025-04-10 11:23:02,1.000021,406.3786,195.902,97.9493,43.13429,321.0208,31,54
2025-04-10 11:23:05,1.038719,407.1704,198.7211,97.25419,43.50061,321.0161,31,54
2025-04-10 11:23:08,0.9816429,406.3948,197.4063,97.94125,44.34504,322.5255,31,54
2025-04-10 11:23:11,1.004193,401.6342,199.6142,96.91792,43.55192,317.283,31,54
2025-04-10 11:23:14,1.00423,404.0218,196.9897,97.08572,43.60357,321.5013,31,54
2025-04-10 11:23:16,1.002852,410.7248,197.6175,96.41182,45.04797,321.7702,31,54
2025-04-10 11:23:19,0.9702311,409.1372,210.3483,93.81875,43.91824,321.3769,31,55
2025-04-10 11:23:22,0.9974326,409.149,197.8429,96.81872,43.45416,319.8865,31,54
2025-04-10 11:23:25,0.9902654,402.4481,200.2527,96.83237,44.44743,321.3966,31,54
2025-04-10 11:23:27,1.007015,410.3415,202.8068,96.32933,44.18203,320.9887,31,54
2025-04-10 11:23:30,1.018422,411.5238,196.981,97.42223,44.92506,321.8844,31,55
2025-04-10 11:23:33,0.9915637,407.5701,202.0208,95.73991,43.97137,318.7612,31,55
2025-04-10 11:23:36,1.015897,406.7876,200.0383,96.4966,43.91977,316.5554,31,55
2025-04-10 11:23:38,1.002828,407.5629,200.0475,97.16608,42.17603,322.5165,31,55
2025-04-10 11:23:41,1.020025,409.5204,196.3461,96.8315,43.81453,315.0609,31,55
2025-04-10 11:23:44,1.004159,404.4627,197.4144,95.91589,43.91975,322.137,32,55
2025-04-10 11:23:47,1.004252,406.0163,198.4955,92.45218,43.65945,322.5077,32,55
2025-04-10 11:23:50,0.9944746,412.2836,194.7944,97.7529,44.28397,320.6325,31,55
2025-04-10 11:23:52,0.9903382,406.0326,197.6262,96.75184,43.76718,322.8887,31,55
2025-04-10 11:23:55,1.013,403.6951,196.1614,96.6657,43.97086,319.1546,31,55
2025-04-10 11:23:58,0.9970829,407.5616,198.076,96.00268,43.81262,319.1345,32,55
2025-04-10 11:24:01,1.006965,412.3451,196.1431,96.00446,43.7649,321.7498,32,55
2025-04-10 11:24:03,1.004183,407.173,199.5853,96.83418,44.22923,316.5673,32,55
2025-04-10 11:24:06,0.9860016,406.4049,196.7651,98.32713,43.60887,321.3932,32,55
2025-04-10 11:24:09,1.002747,399.6414,196.7832,96.83205,43.55586,326.3377,32,55
2025-04-10 11:24:12,1.002779,405.2314,195.5034,97.24814,43.40496,314.3026,32,55
2025-04-10 11:24:15,1.011109,409.9176,196.9939,95.84264,43.9166,321.3834,32,55
2025-04-10 11:24:17,0.998639,407.179,196.5777,97.33021,43.91862,329.7018,32,55
2025-04-10 11:24:20,1.005597,404.1887,194.0744,97.24691,43.97119,320.6209,32,55
2025-04-10 11:24:23,0.9972511,407.9622,198.9178,96.2497,44.07853,325.5526,32,55
2025-04-10 11:24:26,0.9875713,405.6352,197.8462,95.67361,43.81358,318.0544,32,55
2025-04-10 11:24:28,0.9833294,405.2366,198.4901,97.08035,43.81514,319.1544,32,55
2025-04-10 11:24:31,1.004145,406.4109,197.6332,96.24605,43.71024,316.5229,32,55
2025-04-10 11:24:34,1.01087,406.7904,198.0582,96.83411,44.28222,322.8132,32,55
2025-04-10 11:24:37,0.9944351,400.625,194.9243,96.9848,43.76328,319.8896,32,55
2025-04-10 11:24:39,0.9944889,407.187,191.7931,97.25632,43.56134,320.263,32,55
2025-04-10 11:24:42,1.01982,406.0224,198.9263,97.2436,43.19762,323.9112,32,55
2025-04-10 11:24:45,1.014021,405.6365,198.2769,97.74937,44.01884,319.5269,32,55
2025-04-10 11:24:48,0.99588,409.1129,200.4358,97.08131,44.0725,319.9093,32,55
2025-04-10 11:24:51,0.9904303,409.1027,198.278,96.41561,43.71241,322.9303,32,55
2025-04-10 11:24:53,0.998639,413.7644,200.7353,98.809,43.71231,321.0089,32,54
2025-04-10 11:24:56,0.9863893,408.7154,199.1383,97.74331,44.17493,320.2603,32,55
2025-04-10 11:24:59,0.9890498,402.205,200.4401,96.66781,43.71334,315.8689,32,55
2025-04-10 11:25:02,1.000015,404.1188,198.7871,96.33636,44.18406,322.4775,32,55
2025-04-10 11:25:04,0.9876451,407.5756,198.5196,96.25636,44.0742,319.8984,32,55
2025-04-10 11:25:07,0.9930838,408.342,197.6301,97.99319,43.81627,319.1543,32,55
2025-04-10 11:25:10,1.0055,406.4065,196.7836,96.33133,44.28229,320.2576,32,55
2025-04-10 11:25:13,0.9958721,407.5728,198.0951,97.24395,43.86528,321.0421,32,55
2025-04-10 11:25:15,0.984549,410.7001,195.3013,97.23424,43.96973,317.3006,32,54
2025-04-10 11:25:18,0.9707685,407.1829,197.8505,97.08128,43.55855,318.3523,32,55
2025-04-10 11:25:21,0.9903461,401.9211,198.0735,95.12852,43.7127,320.6292,32,55
2025-04-10 11:25:24,1.001395,409.5091,196.7828,97.33288,43.71231,322.1302,32,55
2025-04-10 11:25:27,0.9848835,402.1241,196.7826,96.91486,44.37196,324.7257,32,55
2025-04-10 11:25:29,1.008298,412.4106,199.7812,93.72633,43.1539,320.9624,32,54
2025-04-10 11:25:32,0.987665,407.9652,199.9949,98.1746,43.30618,319.8823,32,54
2025-04-10 11:25:35,0.9796594,408.9217,196.3686,96.58958,44.17345,316.2255,32,54
2025-04-10 11:25:38,1.01956,410.2747,199.3399,95.0922,43.81609,320.6292,32,54
2025-04-10 11:25:40,0.9985799,407.1912,198.4895,96.25684,42.86081,321.7173,32,54
2025-04-10 11:25:43,0.9877026,403.6591,198.7079,97.07996,43.10872,321.7347,32,54
2025-04-10 11:25:46,1.012292,408.7402,199.1232,96.99878,43.03862,322.8855,32,54
2025-04-10 11:25:49,0.99861,410.688,201.5771,97.74984,43.91788,314.2915,32,54
2025-04-10 11:25:52,1.001377,407.5853,197.2466,97.98941,43.97125,319.8957,32,54
2025-04-10 11:25:54,1.008068,407.57,198.4844,94.82948,43.65962,316.9501,32,54
2025-04-10 11:25:57,0.9972515,412.6144,202.6768,96.60728,43.81715,323.6,32,54
2025-04-10 11:26:00,0.9836837,407.1871,199.3793,96.91549,44.12532,315.4641,32,54
2025-04-10 11:26:03,0.990285,409.118,195.812,95.93916,43.6104,316.2259,32,54
2025-04-10 11:26:05,0.9931628,411.0778,201.9798,96.17395,44.44233,313.0893,32,54
2025-04-10 11:26:08,1.001349,413.0361,196.5802,96.9156,43.76328,316.617,32,54
2025-04-10 11:26:11,1.005586,409.8883,195.1671,96.58348,43.20552,319.8791,32,54
2025-04-10 11:26:14,0.9721776,407.9564,198.2674,95.84997,44.49554,316.9055,32,54
2025-04-10 11:26:16,0.9918566,406.4176,196.7968,97.32988,43.11105,318.0513,32,54
2025-04-10 11:26:19,1.004126,406.4185,200.1047,96.8271,43.76302,319.9579,32,54
2025-04-10 11:26:22,0.9834495,412.1486,195.3919,96.01392,43.91863,320.9953,32,54
2025-04-10 11:26:25,0.9972507,414.9951,200.8332,97.07796,44.38457,320.6216,33,54
2025-04-10 11:26:28,0.9917802,417.2682,206.5205,96.34035,43.45821,323.4604,32,54
2025-04-10 11:26:30,0.9999911,407.5714,199.9997,96.50662,44.33176,325.0443,33,54
2025-04-10 11:26:33,1.002772,407.573,198.282,97.41414,43.91863,319.5211,33,54
2025-04-10 11:26:36,0.9986165,411.8976,195.0615,97.00038,44.07307,317.6948,33,54
2025-04-10 11:26:39,0.9999568,408.7553,200.3812,97.41055,43.56159,323.2163,33,54
2025-04-10 11:26:41,1.004171,406.3894,196.9808,97.32671,43.81471,322.4769,33,54
2025-04-10 11:26:44,0.9995937,411.7379,202.7605,98.17387,43.86712,322.484,33,53
2025-04-10 11:26:47,1.00001,411.0967,196.9958,96.02892,44.22661,321.4292,33,53
2025-04-10 11:26:50,1.002822,408.3364,198.0694,96.33894,43.71337,321.3779,33,53
2025-04-10 11:26:52,0.9862968,401.6871,195.754,97.90804,45.35535,322.8575,33,53
2025-04-10 11:26:55,0.9986413,407.5876,197.4387,97.4102,43.76348,321.761,33,53
2025-04-10 11:26:58,1.001413,407.1782,199.9909,95.59226,44.43552,312.2817,33,53
2025-04-10 11:27:01,1.006887,403.3131,197.0015,96.25709,43.61032,319.8938,33,53
2025-04-10 11:27:04,1.002692,407.9151,199.9818,96.17495,45.18277,315.1419,33,53
2025-04-10 11:27:06,1.002489,404.6073,196.7971,96.42191,43.65081,321.3705,33,53
2025-04-10 11:27:09,0.9877112,404.8969,196.1457,97.0792,44.33238,320.6231,33,53
2025-04-10 11:27:12,0.9943365,409.1088,199.772,96.09145,44.12367,321.3531,33,53
2025-04-10 11:27:15,0.9605591,405.9668,197.6752,96.42421,45.13049,321.3685,33,53
2025-04-10 11:27:17,0.9877247,411.05,201.0666,97.07779,44.02167,324.7011,33,53
2025-04-10 11:27:20,0.9839624,414.1712,198.921,96.91533,43.45054,317.3127,33,53
2025-04-10 11:27:23,1.010748,406.7881,200.6276,97.32735,43.91701,318.0008,33,53
2025-04-10 11:27:26,0.9726416,403.7415,197.0094,96.25454,43.86657,316.959,33,53
2025-04-10 11:27:28,1.000029,407.1754,199.5591,96.6677,44.43331,319.1623,33,53
2025-04-10 11:27:31,1.004132,410.6759,188.7851,97.16092,43.50966,310.0683,33,53
2025-04-10 11:27:34,0.9891258,408.3299,199.9821,96.8355,43.30737,321.3698,33,53
2025-04-10 11:27:37,1.00689,411.8848,197.8477,96.83558,43.76247,317.6759,33,53
2025-04-10 11:27:40,1.004443,408.7232,200.4307,95.83928,44.02119,318.7899,33,53
2025-04-10 11:27:42,0.9942501,410.2705,201.3181,97.41807,44.17647,325.6431,33,53
2025-04-10 11:27:45,1.036105,407.578,196.7976,96.58624,43.40848,323.5787,33,53
2025-04-10 11:27:48,0.9810186,406.0385,196.2148,96.83237,44.42651,317.6998,33,53
2025-04-10 11:27:51,1.026169,409.084,198.4868,96.34158,43.7653,318.4392,33,53
2025-04-10 11:27:53,0.9769308,413.4446,197.8531,96.42378,43.81611,309.0751,33,53
2025-04-10 11:27:56,0.982229,406.0488,195.7249,97.48848,42.0949,322.0963,33,53
2025-04-10 11:27:59,1.002755,409.1126,198.5222,96.9968,43.46119,320.2693,33,53
2025-04-10 11:28:02,0.9824949,404.5316,198.4852,97.57558,43.25473,321.3449,33,53
2025-04-10 11:28:04,0.9862829,407.9576,198.9153,96.25654,44.17575,313.7034,33,53
2025-04-10 11:28:07,0.9931397,409.1146,195.1029,96.99227,43.56047,323.5886,33,53
